Latitude,Longitude,Metric,Year,Value
6.441468121,2.395275609,Incidence Rate,2000,546.7185974
6.441468121,2.395275609,Incidence Rate,2001,570.2443719
6.441468121,2.395275609,Incidence Rate,2002,568.2939887
6.441468121,2.395275609,Incidence Rate,2003,558.5493445
6.441468121,2.395275609,Incidence Rate,2004,544.8976755
6.441468121,2.395275609,Incidence Rate,2005,524.3500471
6.441468121,2.395275609,Incidence Rate,2006,482.0763171
6.441468121,2.395275609,Incidence Rate,2007,447.5224018
6.441468121,2.395275609,Incidence Rate,2008,421.7248857
6.441468121,2.395275609,Incidence Rate,2009,436.3595843
6.441468121,2.395275609,Incidence Rate,2010,463.5233581
6.441468121,2.395275609,Incidence Rate,2011,461.6132975
6.441468121,2.395275609,Incidence Rate,2012,435.8082116
6.441468121,2.395275609,Incidence Rate,2013,405.6166112
6.441468121,2.395275609,Incidence Rate,2014,394.6655691
6.441468121,2.395275609,Incidence Rate,2015,397.6610899
6.441468121,2.395275609,Incidence Rate,2016,419.5379913
6.441468121,2.395275609,Incidence Rate,2017,446.5259314
6.441468121,2.395275609,Incidence Rate,2018,479.8508883
6.441468121,2.395275609,Incidence Rate,2019,500.8670092
6.441468121,2.395275609,Incidence Rate,2020,508.9000463
6.441468121,2.395275609,Incidence Rate,2021,507.0925355
6.441468121,2.395275609,Incidence Rate,2022,487.970382
6.441468121,2.395275609,Incidence Rate,2023,457.6278031
6.441468121,2.395275609,Incidence Rate,2024,456.6256106
6.441468121,2.395275609,Infection Prevalence,2000,53.6144495
6.441468121,2.395275609,Infection Prevalence,2001,58.59097838
6.441468121,2.395275609,Infection Prevalence,2002,58.98749828
6.441468121,2.395275609,Infection Prevalence,2003,55.37094474
6.441468121,2.395275609,Infection Prevalence,2004,53.29899192
6.441468121,2.395275609,Infection Prevalence,2005,50.62538981
6.441468121,2.395275609,Infection Prevalence,2006,45.26472092
6.441468121,2.395275609,Infection Prevalence,2007,41.5541023
6.441468121,2.395275609,Infection Prevalence,2008,38.22804391
6.441468121,2.395275609,Infection Prevalence,2009,39.80886936
6.441468121,2.395275609,Infection Prevalence,2010,43.14932525
6.441468121,2.395275609,Infection Prevalence,2011,43.04744005
6.441468121,2.395275609,Infection Prevalence,2012,40.05796611
6.441468121,2.395275609,Infection Prevalence,2013,36.54961884
6.441468121,2.395275609,Infection Prevalence,2014,35.36215425
6.441468121,2.395275609,Infection Prevalence,2015,35.90145409
6.441468121,2.395275609,Infection Prevalence,2016,38.75629008
6.441468121,2.395275609,Infection Prevalence,2017,42.28511155
6.441468121,2.395275609,Infection Prevalence,2018,47.01527953
6.441468121,2.395275609,Infection Prevalence,2019,50.38405061
6.441468121,2.395275609,Infection Prevalence,2020,52.15683579
6.441468121,2.395275609,Infection Prevalence,2021,54.83148098
