Latitude,Longitude,Metric,Year,Value
11.67315457,-0.809373167,Incidence Rate,2000,552.0370007
11.67315457,-0.809373167,Incidence Rate,2001,544.7165966
11.67315457,-0.809373167,Incidence Rate,2002,518.2636976
11.67315457,-0.809373167,Incidence Rate,2003,468.3316648
11.67315457,-0.809373167,Incidence Rate,2004,421.1952984
11.67315457,-0.809373167,Incidence Rate,2005,392.6559091
11.67315457,-0.809373167,Incidence Rate,2006,371.1974621
11.67315457,-0.809373167,Incidence Rate,2007,381.9838464
11.67315457,-0.809373167,Incidence Rate,2008,437.8255606
11.67315457,-0.809373167,Incidence Rate,2009,537.6086235
11.67315457,-0.809373167,Incidence Rate,2010,594.6027637
11.67315457,-0.809373167,Incidence Rate,2011,593.8724279
11.67315457,-0.809373167,Incidence Rate,2012,549.705267
11.67315457,-0.809373167,Incidence Rate,2013,432.4700236
11.67315457,-0.809373167,Incidence Rate,2014,348.0739295
11.67315457,-0.809373167,Incidence Rate,2015,302.8456569
11.67315457,-0.809373167,Incidence Rate,2016,265.6227648
11.67315457,-0.809373167,Incidence Rate,2017,244.2293614
11.67315457,-0.809373167,Incidence Rate,2018,224.1494656
11.67315457,-0.809373167,Incidence Rate,2019,207.0415914
11.67315457,-0.809373167,Incidence Rate,2020,203.9128542
11.67315457,-0.809373167,Incidence Rate,2021,202.7870119
11.67315457,-0.809373167,Incidence Rate,2022,189.46594
11.67315457,-0.809373167,Incidence Rate,2023,206.4893544
11.67315457,-0.809373167,Incidence Rate,2024,205.2132338
11.67315457,-0.809373167,Infection Prevalence,2000,56.28791451
11.67315457,-0.809373167,Infection Prevalence,2001,54.54454422
11.67315457,-0.809373167,Infection Prevalence,2002,49.95559752
11.67315457,-0.809373167,Infection Prevalence,2003,43.04121435
11.67315457,-0.809373167,Infection Prevalence,2004,37.47044802
11.67315457,-0.809373167,Infection Prevalence,2005,33.80507827
11.67315457,-0.809373167,Infection Prevalence,2006,30.89863658
11.67315457,-0.809373167,Infection Prevalence,2007,31.91720545
11.67315457,-0.809373167,Infection Prevalence,2008,38.32480907
11.67315457,-0.809373167,Infection Prevalence,2009,50.64206123
11.67315457,-0.809373167,Infection Prevalence,2010,61.07728481
11.67315457,-0.809373167,Infection Prevalence,2011,61.49935126
11.67315457,-0.809373167,Infection Prevalence,2012,52.9024899
11.67315457,-0.809373167,Infection Prevalence,2013,38.06067407
11.67315457,-0.809373167,Infection Prevalence,2014,28.4786433
11.67315457,-0.809373167,Infection Prevalence,2015,23.58343452
11.67315457,-0.809373167,Infection Prevalence,2016,19.89812553
11.67315457,-0.809373167,Infection Prevalence,2017,17.78553426
11.67315457,-0.809373167,Infection Prevalence,2018,15.73538184
11.67315457,-0.809373167,Infection Prevalence,2019,14.04282898
11.67315457,-0.809373167,Infection Prevalence,2020,13.53952587
11.67315457,-0.809373167,Infection Prevalence,2021,13.2656008
11.67315457,-0.809373167,Infection Prevalence,2022,12.49246225
11.67315457,-0.809373167,Infection Prevalence,2023,14.64958787
11.67315457,-0.809373167,Infection Prevalence,2024,14.55655396
11.67315457,-0.809373167,Mortality Rate,2000,318.8410075
11.67315457,-0.809373167,Mortality Rate,2001,334.9773586
11.67315457,-0.809373167,Mortality Rate,2002,350.8202964
11.67315457,-0.809373167,Mortality Rate,2003,349.0146017
11.67315457,-0.809373167,Mortality Rate,2004,325.435074
11.67315457,-0.809373167,Mortality Rate,2005,307.712215
11.67315457,-0.809373167,Mortality Rate,2006,293.5226541
11.67315457,-0.809373167,Mortality Rate,2007,274.6095415
11.67315457,-0.809373167,Mortality Rate,2008,265.2395284
11.67315457,-0.809373167,Mortality Rate,2009,251.4689928
11.67315457,-0.809373167,Mortality Rate,2010,236.1216582
11.67315457,-0.809373167,Mortality Rate,2011,217.7517628
11.67315457,-0.809373167,Mortality Rate,2012,201.423117
11.67315457,-0.809373167,Mortality Rate,2013,181.3038369
11.67315457,-0.809373167,Mortality Rate,2014,165.3772779
11.67315457,-0.809373167,Mortality Rate,2015,153.489993
11.67315457,-0.809373167,Mortality Rate,2016,143.7623287
11.67315457,-0.809373167,Mortality Rate,2017,93.65667356
11.67315457,-0.809373167,Mortality Rate,2018,93.70325715
11.67315457,-0.809373167,Mortality Rate,2019,90.94555862
11.67315457,-0.809373167,Mortality Rate,2020,95.87890818
11.67315457,-0.809373167,Mortality Rate,2021,85.12454806
11.67315457,-0.809373167,Mortality Rate,2022,81.49502682
11.67315457,-0.809373167,Mortality Rate,2023,80.3014962
11.67315457,-0.809373167,Mortality Rate,2024,80.09722224
11.17527639,-1.428289505,Incidence Rate,2000,608.9195609
11.17527639,-1.428289505,Incidence Rate,2001,609.1846824
11.17527639,-1.428289505,Incidence Rate,2002,604.4217944
11.17527639,-1.428289505,Incidence Rate,2003,588.6095166
11.17527639,-1.428289505,Incidence Rate,2004,559.5453382
11.17527639,-1.428289505,Incidence Rate,2005,540.9439802
11.17527639,-1.428289505,Incidence Rate,2006,542.3350334
11.17527639,-1.428289505,Incidence Rate,2007,555.6413531
11.17527639,-1.428289505,Incidence Rate,2008,577.4616003
11.17527639,-1.428289505,Incidence Rate,2009,599.4037986
11.17527639,-1.428289505,Incidence Rate,2010,601.0730863
11.17527639,-1.428289505,Incidence Rate,2011,599.5389223
11.17527639,-1.428289505,Incidence Rate,2012,597.8888869
11.17527639,-1.428289505,Incidence Rate,2013,588.6211991
11.17527639,-1.428289505,Incidence Rate,2014,558.4934354
11.17527639,-1.428289505,Incidence Rate,2015,513.5355592
11.17527639,-1.428289505,Incidence Rate,2016,437.1336699
11.17527639,-1.428289505,Incidence Rate,2017,409.7896218
11.17527639,-1.428289505,Incidence Rate,2018,409.6994996
11.17527639,-1.428289505,Incidence Rate,2019,408.1399739
11.17527639,-1.428289505,Incidence Rate,2020,434.18625
11.17527639,-1.428289505,Incidence Rate,2021,443.11589
11.17527639,-1.428289505,Incidence Rate,2022,398.6952603
11.17527639,-1.428289505,Incidence Rate,2023,380.3057969
11.17527639,-1.428289505,Incidence Rate,2024,373.0356097
11.17527639,-1.428289505,Infection Prevalence,2000,79.55110669
11.17527639,-1.428289505,Infection Prevalence,2001,79.24550176
11.17527639,-1.428289505,Infection Prevalence,2002,76.2597084
11.17527639,-1.428289505,Infection Prevalence,2003,69.35180426
11.17527639,-1.428289505,Infection Prevalence,2004,61.87317967
11.17527639,-1.428289505,Infection Prevalence,2005,57.04892874
11.17527639,-1.428289505,Infection Prevalence,2006,55.24032116
11.17527639,-1.428289505,Infection Prevalence,2007,57.80230761
11.17527639,-1.428289505,Infection Prevalence,2008,63.67812157
11.17527639,-1.428289505,Infection Prevalence,2009,72.16049433
11.17527639,-1.428289505,Infection Prevalence,2010,78.10484767
11.17527639,-1.428289505,Infection Prevalence,2011,78.49434018
11.17527639,-1.428289505,Infection Prevalence,2012,75.40058494
11.17527639,-1.428289505,Infection Prevalence,2013,66.03811383
11.17527639,-1.428289505,Infection Prevalence,2014,56.65961504
11.17527639,-1.428289505,Infection Prevalence,2015,49.27937686
11.17527639,-1.428289505,Infection Prevalence,2016,39.67172801
11.17527639,-1.428289505,Infection Prevalence,2017,36.39362156
11.17527639,-1.428289505,Infection Prevalence,2018,36.16998494
11.17527639,-1.428289505,Infection Prevalence,2019,36.29267812
11.17527639,-1.428289505,Infection Prevalence,2020,39.65982497
11.17527639,-1.428289505,Infection Prevalence,2021,40.69712758
11.17527639,-1.428289505,Infection Prevalence,2022,35.30725241
11.17527639,-1.428289505,Infection Prevalence,2023,33.1841737
11.17527639,-1.428289505,Infection Prevalence,2024,32.39526451
11.17527639,-1.428289505,Mortality Rate,2000,354.3692175
11.17527639,-1.428289505,Mortality Rate,2001,372.1210407
11.17527639,-1.428289505,Mortality Rate,2002,389.7959134
11.17527639,-1.428289505,Mortality Rate,2003,387.7933836
11.17527639,-1.428289505,Mortality Rate,2004,361.6936505
