Latitude,Longitude,Metric,Year,Value
-0.255759124,34.78360702,Incidence Rate,2000,554.8850894
-0.255759124,34.78360702,Incidence Rate,2001,555.8872223
-0.255759124,34.78360702,Incidence Rate,2002,554.7206402
-0.255759124,34.78360702,Incidence Rate,2003,553.6664128
-0.255759124,34.78360702,Incidence Rate,2004,533.4926844
-0.255759124,34.78360702,Incidence Rate,2005,440.5357838
-0.255759124,34.78360702,Incidence Rate,2006,369.5438504
-0.255759124,34.78360702,Incidence Rate,2007,303.3776581
-0.255759124,34.78360702,Incidence Rate,2008,270.2747583
-0.255759124,34.78360702,Incidence Rate,2009,294.8093116
-0.255759124,34.78360702,Incidence Rate,2010,342.0253098
-0.255759124,34.78360702,Incidence Rate,2011,367.0805693
-0.255759124,34.78360702,Incidence Rate,2012,376.4069378
-0.255759124,34.78360702,Incidence Rate,2013,360.5958223
-0.255759124,34.78360702,Incidence Rate,2014,320.7400143
-0.255759124,34.78360702,Incidence Rate,2015,245.5267906
-0.255759124,34.78360702,Incidence Rate,2016,169.3011224
-0.255759124,34.78360702,Incidence Rate,2017,139.556706
-0.255759124,34.78360702,Incidence Rate,2018,144.0156996
-0.255759124,34.78360702,Incidence Rate,2019,162.5491828
-0.255759124,34.78360702,Incidence Rate,2020,189.0611649
-0.255759124,34.78360702,Incidence Rate,2021,194.284603
-0.255759124,34.78360702,Incidence Rate,2022,179.0278703
-0.255759124,34.78360702,Incidence Rate,2023,167.7060127
-0.255759124,34.78360702,Incidence Rate,2024,163.7802124
-0.255759124,34.78360702,Infection Prevalence,2000,63.95700574
-0.255759124,34.78360702,Infection Prevalence,2001,87.99430728
-0.255759124,34.78360702,Infection Prevalence,2002,79.16436791
-0.255759124,34.78360702,Infection Prevalence,2003,72.65235782
-0.255759124,34.78360702,Infection Prevalence,2004,57.17638731
-0.255759124,34.78360702,Infection Prevalence,2005,43.4702754
-0.255759124,34.78360702,Infection Prevalence,2006,34.51001644
-0.255759124,34.78360702,Infection Prevalence,2007,26.2021929
-0.255759124,34.78360702,Infection Prevalence,2008,22.15153575
-0.255759124,34.78360702,Infection Prevalence,2009,25.32951236
-0.255759124,34.78360702,Infection Prevalence,2010,31.72293603
-0.255759124,34.78360702,Infection Prevalence,2011,35.36709547
-0.255759124,34.78360702,Infection Prevalence,2012,37.00624108
-0.255759124,34.78360702,Infection Prevalence,2013,35.30907631
-0.255759124,34.78360702,Infection Prevalence,2014,30.28950393
-0.255759124,34.78360702,Infection Prevalence,2015,20.4670459
-0.255759124,34.78360702,Infection Prevalence,2016,11.79548949
-0.255759124,34.78360702,Infection Prevalence,2017,9.074637294
-0.255759124,34.78360702,Infection Prevalence,2018,9.541414678
-0.255759124,34.78360702,Infection Prevalence,2019,11.45029292
-0.255759124,34.78360702,Infection Prevalence,2020,14.55028206
-0.255759124,34.78360702,Infection Prevalence,2021,16.06963724
-0.255759124,34.78360702,Infection Prevalence,2022,15.05698115
-0.255759124,34.78360702,Infection Prevalence,2023,13.85787278
-0.255759124,34.78360702,Infection Prevalence,2024,13.5242939
-0.255759124,34.78360702,Mortality Rate,2000,154.9277105
-0.255759124,34.78360702,Mortality Rate,2001,181.5624302
-0.255759124,34.78360702,Mortality Rate,2002,174.8591429
-0.255759124,34.78360702,Mortality Rate,2003,174.6746711
-0.255759124,34.78360702,Mortality Rate,2004,145.0197538
-0.255759124,34.78360702,Mortality Rate,2005,119.6266152
-0.255759124,34.78360702,Mortality Rate,2006,102.2659009
-0.255759124,34.78360702,Mortality Rate,2007,89.89180205
-0.255759124,34.78360702,Mortality Rate,2008,82.7872369
-0.255759124,34.78360702,Mortality Rate,2009,75.69663576
-0.255759124,34.78360702,Mortality Rate,2010,51.47577031
-0.255759124,34.78360702,Mortality Rate,2011,32.27925336
-0.255759124,34.78360702,Mortality Rate,2012,30.40609881
-0.255759124,34.78360702,Mortality Rate,2013,48.72385471
-0.255759124,34.78360702,Mortality Rate,2014,53.03354119
-0.255759124,34.78360702,Mortality Rate,2015,43.21236047
-0.255759124,34.78360702,Mortality Rate,2016,32.90048626
-0.255759124,34.78360702,Mortality Rate,2017,18.26196094
-0.255759124,34.78360702,Mortality Rate,2018,19.23819218
-0.255759124,34.78360702,Mortality Rate,2019,20.36129445
-0.255759124,34.78360702,Mortality Rate,2020,24.82785203
-0.255759124,34.78360702,Mortality Rate,2021,25.07587487
