Latitude,Longitude,Metric,Year,Value
15.43618808,-7.060768015,Incidence Rate,2000,246.0159212
15.43618808,-7.060768015,Incidence Rate,2001,243.2919741
15.43618808,-7.060768015,Incidence Rate,2002,248.6259341
15.43618808,-7.060768015,Incidence Rate,2003,259.9987984
15.43618808,-7.060768015,Incidence Rate,2004,266.1939561
15.43618808,-7.060768015,Incidence Rate,2005,274.0417123
15.43618808,-7.060768015,Incidence Rate,2006,279.7560692
15.43618808,-7.060768015,Incidence Rate,2007,265.9520209
15.43618808,-7.060768015,Incidence Rate,2008,262.3304427
15.43618808,-7.060768015,Incidence Rate,2009,239.265576
15.43618808,-7.060768015,Incidence Rate,2010,226.5284061
15.43618808,-7.060768015,Incidence Rate,2011,242.3553765
15.43618808,-7.060768015,Incidence Rate,2012,266.9280171
15.43618808,-7.060768015,Incidence Rate,2013,296.1338758
15.43618808,-7.060768015,Incidence Rate,2014,297.1019149
15.43618808,-7.060768015,Incidence Rate,2015,277.0550549
15.43618808,-7.060768015,Incidence Rate,2016,248.4314144
15.43618808,-7.060768015,Incidence Rate,2017,233.6210459
15.43618808,-7.060768015,Incidence Rate,2018,211.5691155
15.43618808,-7.060768015,Incidence Rate,2019,195.4950839
15.43618808,-7.060768015,Incidence Rate,2020,171.5523303
15.43618808,-7.060768015,Incidence Rate,2021,135.0569278
15.43618808,-7.060768015,Incidence Rate,2022,123.7880513
15.43618808,-7.060768015,Incidence Rate,2023,138.9575452
15.43618808,-7.060768015,Incidence Rate,2024,136.98107
15.43618808,-7.060768015,Infection Prevalence,2000,17.31101424
15.43618808,-7.060768015,Infection Prevalence,2001,17.01595783
15.43618808,-7.060768015,Infection Prevalence,2002,17.37791151
15.43618808,-7.060768015,Infection Prevalence,2003,18.24706197
15.43618808,-7.060768015,Infection Prevalence,2004,19.08483356
15.43618808,-7.060768015,Infection Prevalence,2005,19.93319094
15.43618808,-7.060768015,Infection Prevalence,2006,20.41257173
15.43618808,-7.060768015,Infection Prevalence,2007,19.31365132
15.43618808,-7.060768015,Infection Prevalence,2008,18.77936125
15.43618808,-7.060768015,Infection Prevalence,2009,16.35323614
15.43618808,-7.060768015,Infection Prevalence,2010,15.11482298
15.43618808,-7.060768015,Infection Prevalence,2011,16.55345112
15.43618808,-7.060768015,Infection Prevalence,2012,18.83049309
15.43618808,-7.060768015,Infection Prevalence,2013,21.72326297
15.43618808,-7.060768015,Infection Prevalence,2014,21.75801992
15.43618808,-7.060768015,Infection Prevalence,2015,19.64423805
15.43618808,-7.060768015,Infection Prevalence,2016,17.02947617
15.43618808,-7.060768015,Infection Prevalence,2017,15.65874666
15.43618808,-7.060768015,Infection Prevalence,2018,13.3644253
15.43618808,-7.060768015,Infection Prevalence,2019,11.88962087
15.43618808,-7.060768015,Infection Prevalence,2020,10.0061141
15.43618808,-7.060768015,Infection Prevalence,2021,7.580211014
15.43618808,-7.060768015,Infection Prevalence,2022,7.201289386
15.43618808,-7.060768015,Infection Prevalence,2023,8.603653312
15.43618808,-7.060768015,Infection Prevalence,2024,8.462899923
15.43618808,-7.060768015,Mortality Rate,2000,69.44593042
15.43618808,-7.060768015,Mortality Rate,2001,68.49671481
15.43618808,-7.060768015,Mortality Rate,2002,74.68336262
15.43618808,-7.060768015,Mortality Rate,2003,73.56774877
15.43618808,-7.060768015,Mortality Rate,2004,69.36260033
15.43618808,-7.060768015,Mortality Rate,2005,66.38271734
15.43618808,-7.060768015,Mortality Rate,2006,62.2719177
15.43618808,-7.060768015,Mortality Rate,2007,55.31253992
15.43618808,-7.060768015,Mortality Rate,2008,54.60671964
15.43618808,-7.060768015,Mortality Rate,2009,52.31416435
15.43618808,-7.060768015,Mortality Rate,2010,50.1020113
15.43618808,-7.060768015,Mortality Rate,2011,50.97131943
15.43618808,-7.060768015,Mortality Rate,2012,55.35066593
15.43618808,-7.060768015,Mortality Rate,2013,56.12094537
15.43618808,-7.060768015,Mortality Rate,2014,52.89166584
15.43618808,-7.060768015,Mortality Rate,2015,45.46101263
15.43618808,-7.060768015,Mortality Rate,2016,39.939626
15.43618808,-7.060768015,Mortality Rate,2017,39.1324138
15.43618808,-7.060768015,Mortality Rate,2018,36.86265845
15.43618808,-7.060768015,Mortality Rate,2019,38.13244111
15.43618808,-7.060768015,Mortality Rate,2020,42.1452045
15.43618808,-7.060768015,Mortality Rate,2021,34.32929225
15.43618808,-7.060768015,Mortality Rate,2022,35.4253687
15.43618808,-7.060768015,Mortality Rate,2023,35.32901173
15.43618808,-7.060768015,Mortality Rate,2024,35.40597972
13.06964335,-7.071818363,Incidence Rate,2000,524.9844193
13.06964335,-7.071818363,Incidence Rate,2001,541.8051481
13.06964335,-7.071818363,Incidence Rate,2002,550.5013466
13.06964335,-7.071818363,Incidence Rate,2003,554.9902916
13.06964335,-7.071818363,Incidence Rate,2004,549.6636629
13.06964335,-7.071818363,Incidence Rate,2005,548.5102534
13.06964335,-7.071818363,Incidence Rate,2006,546.5572476
13.06964335,-7.071818363,Incidence Rate,2007,529.1539431
13.06964335,-7.071818363,Incidence Rate,2008,477.5780141
13.06964335,-7.071818363,Incidence Rate,2009,418.881923
13.06964335,-7.071818363,Incidence Rate,2010,461.7832899
13.06964335,-7.071818363,Incidence Rate,2011,533.0823064
13.06964335,-7.071818363,Incidence Rate,2012,560.6523752
13.06964335,-7.071818363,Incidence Rate,2013,541.0509706
13.06964335,-7.071818363,Incidence Rate,2014,471.2947011
13.06964335,-7.071818363,Incidence Rate,2015,340.7462537
13.06964335,-7.071818363,Incidence Rate,2016,210.7453644
13.06964335,-7.071818363,Incidence Rate,2017,183.9888841
13.06964335,-7.071818363,Incidence Rate,2018,258.4817111
13.06964335,-7.071818363,Incidence Rate,2019,347.9010165
13.06964335,-7.071818363,Incidence Rate,2020,397.5355029
13.06964335,-7.071818363,Incidence Rate,2021,369.6003556
13.06964335,-7.071818363,Incidence Rate,2022,349.9011695
13.06964335,-7.071818363,Incidence Rate,2023,334.6447945
13.06964335,-7.071818363,Incidence Rate,2024,333.6390257
13.06964335,-7.071818363,Infection Prevalence,2000,49.77463782
13.06964335,-7.071818363,Infection Prevalence,2001,53.11788917
13.06964335,-7.071818363,Infection Prevalence,2002,55.68733215
13.06964335,-7.071818363,Infection Prevalence,2003,57.2684586
13.06964335,-7.071818363,Infection Prevalence,2004,57.73028135
13.06964335,-7.071818363,Infection Prevalence,2005,56.78701401
13.06964335,-7.071818363,Infection Prevalence,2006,54.51527834
13.06964335,-7.071818363,Infection Prevalence,2007,51.1205256
13.06964335,-7.071818363,Infection Prevalence,2008,42.92778969
13.06964335,-7.071818363,Infection Prevalence,2009,34.64286029
13.06964335,-7.071818363,Infection Prevalence,2010,39.10304308
13.06964335,-7.071818363,Infection Prevalence,2011,47.76590765
13.06964335,-7.071818363,Infection Prevalence,2012,51.519382
13.06964335,-7.071818363,Infection Prevalence,2013,49.22577739
13.06964335,-7.071818363,Infection Prevalence,2014,40.72365463
13.06964335,-7.071818363,Infection Prevalence,2015,26.37285292
