Latitude,Longitude,Metric,Year,Value
-8.008211392,39.40377321,Incidence Rate,2000,371.4381158
-8.008211392,39.40377321,Incidence Rate,2001,332.2993815
-8.008211392,39.40377321,Incidence Rate,2002,289.3122137
-8.008211392,39.40377321,Incidence Rate,2003,253.7987828
-8.008211392,39.40377321,Incidence Rate,2004,236.6282195
-8.008211392,39.40377321,Incidence Rate,2005,228.2218784
-8.008211392,39.40377321,Incidence Rate,2006,216.5473998
-8.008211392,39.40377321,Incidence Rate,2007,204.3730915
-8.008211392,39.40377321,Incidence Rate,2008,190.7135397
-8.008211392,39.40377321,Incidence Rate,2009,172.2697169
-8.008211392,39.40377321,Incidence Rate,2010,164.5202786
-8.008211392,39.40377321,Incidence Rate,2011,175.3905714
-8.008211392,39.40377321,Incidence Rate,2012,208.5020393
-8.008211392,39.40377321,Incidence Rate,2013,248.7792522
-8.008211392,39.40377321,Incidence Rate,2014,272.3273039
-8.008211392,39.40377321,Incidence Rate,2015,260.7356906
-8.008211392,39.40377321,Incidence Rate,2016,216.0253972
-8.008211392,39.40377321,Incidence Rate,2017,152.6550055
-8.008211392,39.40377321,Incidence Rate,2018,83.81498605
-8.008211392,39.40377321,Incidence Rate,2019,52.00050026
-8.008211392,39.40377321,Incidence Rate,2020,52.60425061
-8.008211392,39.40377321,Incidence Rate,2021,80.38318902
-8.008211392,39.40377321,Incidence Rate,2022,112.2297719
-8.008211392,39.40377321,Incidence Rate,2023,124.9030009
-8.008211392,39.40377321,Incidence Rate,2024,124.5864406
-8.008211392,39.40377321,Infection Prevalence,2000,32.78382719
-8.008211392,39.40377321,Infection Prevalence,2001,28.10205817
-8.008211392,39.40377321,Infection Prevalence,2002,23.29063416
-8.008211392,39.40377321,Infection Prevalence,2003,19.46112961
-8.008211392,39.40377321,Infection Prevalence,2004,17.72188544
-8.008211392,39.40377321,Infection Prevalence,2005,16.81956649
-8.008211392,39.40377321,Infection Prevalence,2006,15.47476947
-8.008211392,39.40377321,Infection Prevalence,2007,14.22783285
-8.008211392,39.40377321,Infection Prevalence,2008,12.92901784
-8.008211392,39.40377321,Infection Prevalence,2009,11.28249541
-8.008211392,39.40377321,Infection Prevalence,2010,10.72140858
-8.008211392,39.40377321,Infection Prevalence,2011,11.76771671
-8.008211392,39.40377321,Infection Prevalence,2012,15.0047645
-8.008211392,39.40377321,Infection Prevalence,2013,19.41875815
-8.008211392,39.40377321,Infection Prevalence,2014,22.08306938
-8.008211392,39.40377321,Infection Prevalence,2015,20.69706172
-8.008211392,39.40377321,Infection Prevalence,2016,15.78158438
-8.008211392,39.40377321,Infection Prevalence,2017,9.702610224
-8.008211392,39.40377321,Infection Prevalence,2018,4.650653526
-8.008211392,39.40377321,Infection Prevalence,2019,2.772538736
-8.008211392,39.40377321,Infection Prevalence,2020,2.822003886
-8.008211392,39.40377321,Infection Prevalence,2021,4.510065913
-8.008211392,39.40377321,Infection Prevalence,2022,6.667359173
-8.008211392,39.40377321,Infection Prevalence,2023,7.882405818
-8.008211392,39.40377321,Infection Prevalence,2024,7.892090827
-8.008211392,39.40377321,Mortality Rate,2000,120.580208
-8.008211392,39.40377321,Mortality Rate,2001,114.6620023
-8.008211392,39.40377321,Mortality Rate,2002,107.0728642
-8.008211392,39.40377321,Mortality Rate,2003,92.3341373
-8.008211392,39.40377321,Mortality Rate,2004,74.69563861
-8.008211392,39.40377321,Mortality Rate,2005,61.91132125
-8.008211392,39.40377321,Mortality Rate,2006,48.72023419
-8.008211392,39.40377321,Mortality Rate,2007,36.83659306
-8.008211392,39.40377321,Mortality Rate,2008,30.5561116
-8.008211392,39.40377321,Mortality Rate,2009,32.48506691
-8.008211392,39.40377321,Mortality Rate,2010,33.36130467
-8.008211392,39.40377321,Mortality Rate,2011,27.57146431
-8.008211392,39.40377321,Mortality Rate,2012,23.0884325
-8.008211392,39.40377321,Mortality Rate,2013,24.21984682
-8.008211392,39.40377321,Mortality Rate,2014,25.36225657
-8.008211392,39.40377321,Mortality Rate,2015,25.85029288
-8.008211392,39.40377321,Mortality Rate,2016,24.39653617
-8.008211392,39.40377321,Mortality Rate,2017,21.30783978
-8.008211392,39.40377321,Mortality Rate,2018,19.52951861
-8.008211392,39.40377321,Mortality Rate,2019,19.54900072
-8.008211392,39.40377321,Mortality Rate,2020,20.53801145
-8.008211392,39.40377321,Mortality Rate,2021,21.60521981
-8.008211392,39.40377321,Mortality Rate,2022,22.83754002
-8.008211392,39.40377321,Mortality Rate,2023,21.63898025
-8.008211392,39.40377321,Mortality Rate,2024,21.66145423
-7.266030634,39.43823679,Incidence Rate,2000,567.6342845
-7.266030634,39.43823679,Incidence Rate,2001,547.0357537
-7.266030634,39.43823679,Incidence Rate,2002,531.3147306
-7.266030634,39.43823679,Incidence Rate,2003,548.0844378
-7.266030634,39.43823679,Incidence Rate,2004,563.5720491
-7.266030634,39.43823679,Incidence Rate,2005,566.904068
-7.266030634,39.43823679,Incidence Rate,2006,564.5676851
-7.266030634,39.43823679,Incidence Rate,2007,557.828486
-7.266030634,39.43823679,Incidence Rate,2008,558.4534407
-7.266030634,39.43823679,Incidence Rate,2009,563.3080602
-7.266030634,39.43823679,Incidence Rate,2010,562.1032715
-7.266030634,39.43823679,Incidence Rate,2011,559.5927835
-7.266030634,39.43823679,Incidence Rate,2012,554.8557043
-7.266030634,39.43823679,Incidence Rate,2013,537.5932455
-7.266030634,39.43823679,Incidence Rate,2014,539.8414731
-7.266030634,39.43823679,Incidence Rate,2015,553.4244776
-7.266030634,39.43823679,Incidence Rate,2016,552.0857573
-7.266030634,39.43823679,Incidence Rate,2017,544.2426205
-7.266030634,39.43823679,Incidence Rate,2018,457.4515224
-7.266030634,39.43823679,Incidence Rate,2019,324.3644834
-7.266030634,39.43823679,Incidence Rate,2020,314.0777349
-7.266030634,39.43823679,Incidence Rate,2021,413.7215614
-7.266030634,39.43823679,Incidence Rate,2022,465.7323062
-7.266030634,39.43823679,Incidence Rate,2023,447.2331107
-7.266030634,39.43823679,Incidence Rate,2024,443.7305331
-7.266030634,39.43823679,Infection Prevalence,2000,73.60910773
-7.266030634,39.43823679,Infection Prevalence,2001,63.1618917
-7.266030634,39.43823679,Infection Prevalence,2002,58.48209858
-7.266030634,39.43823679,Infection Prevalence,2003,62.61264086
-7.266030634,39.43823679,Infection Prevalence,2004,68.91881824
-7.266030634,39.43823679,Infection Prevalence,2005,71.42878771
-7.266030634,39.43823679,Infection Prevalence,2006,69.5954144
-7.266030634,39.43823679,Infection Prevalence,2007,66.17619395
-7.266030634,39.43823679,Infection Prevalence,2008,66.46691561
-7.266030634,39.43823679,Infection Prevalence,2009,69.76211071
-7.266030634,39.43823679,Infection Prevalence,2010,72.31782675
-7.266030634,39.43823679,Infection Prevalence,2011,71.30210996
-7.266030634,39.43823679,Infection Prevalence,2012,66.27268791
-7.266030634,39.43823679,Infection Prevalence,2013,61.52591109
-7.266030634,39.43823679,Infection Prevalence,2014,63.3900702
-7.266030634,39.43823679,Infection Prevalence,2015,71.40803933
-7.266030634,39.43823679,Infection Prevalence,2016,75.56328773
-7.266030634,39.43823679,Infection Prevalence,2017,68.7128365
-7.266030634,39.43823679,Infection Prevalence,2018,47.84041941
-7.266030634,39.43823679,Infection Prevalence,2019,30.12395799
-7.266030634,39.43823679,Infection Prevalence,2020,29.05034423
-7.266030634,39.43823679,Infection Prevalence,2021,43.61886978
-7.266030634,39.43823679,Infection Prevalence,2022,51.8687427
-7.266030634,39.43823679,Infection Prevalence,2023,49.59502518
-7.266030634,39.43823679,Infection Prevalence,2024,49.506405
-7.266030634,39.43823679,Mortality Rate,2000,247.6478228
-7.266030634,39.43823679,Mortality Rate,2001,235.7229823
-7.266030634,39.43823679,Mortality Rate,2002,220.1986033
-7.266030634,39.43823679,Mortality Rate,2003,189.9550669
-7.266030634,39.43823679,Mortality Rate,2004,153.5780379
-7.266030634,39.43823679,Mortality Rate,2005,127.2136695
-7.266030634,39.43823679,Mortality Rate,2006,100.0634395
-7.266030634,39.43823679,Mortality Rate,2007,75.62375395
-7.266030634,39.43823679,Mortality Rate,2008,62.7451227
-7.266030634,39.43823679,Mortality Rate,2009,66.71195733
-7.266030634,39.43823679,Mortality Rate,2010,68.49999772
-7.266030634,39.43823679,Mortality Rate,2011,56.59949384
-7.266030634,39.43823679,Mortality Rate,2012,47.30461515
-7.266030634,39.43823679,Mortality Rate,2013,49.59455109
-7.266030634,39.43823679,Mortality Rate,2014,51.90449301
-7.266030634,39.43823679,Mortality Rate,2015,52.82454658
-7.266030634,39.43823679,Mortality Rate,2016,49.84661355
-7.266030634,39.43823679,Mortality Rate,2017,47.92870895
-7.266030634,39.43823679,Mortality Rate,2018,43.90001122
-7.266030634,39.43823679,Mortality Rate,2019,43.90666727
-7.266030634,39.43823679,Mortality Rate,2020,46.03400594
-7.266030634,39.43823679,Mortality Rate,2021,48.38426248
-7.266030634,39.43823679,Mortality Rate,2022,51.29844067
-7.266030634,39.43823679,Mortality Rate,2023,48.71177371
-7.266030634,39.43823679,Mortality Rate,2024,48.76587191
